filename,animales/bird.jpg,animales/cat.jpg,animales/dog.jpg,animales/snake.jpg,animales/rabbit.jpg,colores/yellow.jpg,colores/red.jpg,colores/pink.jpg,colores/green.jpg,colores/blue.jpg,ropa/jacket.jpg,ropa/shoes.jpg,ropa/t_shirt.jpg,ropa/hat.jpg,ropa/trousers.jpg,colegio/calculator.jpg,colegio/school_bag.jpg,colegio/pencil.jpg,colegio/clock.jpg,colegio/eraser.jpg
ropa/jacket.jpg,0.14036606,0.18337321,0.0685085,0.121386714,0.14267819,0.2539499,0.25073704,0.24262221,0.23746133,0.22737105,0.36881196,0.13646637,0.19706763,0.13027535,0.23809716,0.152788,0.17893974,0.19217369,0.15201046,0.1385711
ropa/shoes.jpg,0.09389808,0.1069908,0.047309503,0.044585343,0.098416805,0.19475816,0.20307098,0.1904766,0.20802194,0.25596547,0.16703913,0.32378575,0.1600143,0.14456782,0.16455068,0.12215511,0.14124654,0.11149191,0.072603166,0.18567526
ropa/t_shirt.jpg,0.09910022,0.12167957,0.123623386,0.10066307,0.13588788,0.22261354,0.21673349,0.20435423,0.2136079,0.21221924,0.19841842,0.16139063,0.34987736,0.14931956,0.16156366,0.11399875,0.2258714,0.15670109,0.1141359,0.15683848
ropa/hat.jpg,0.10344523,0.1429814,0.122501545,0.11236459,0.15324761,0.20851491,0.21566398,0.19774619,0.20594446,0.23052114,0.18180075,0.15157011,0.17939256,0.21581256,0.14671962,0.13953799,0.14088203,0.14633502,0.07676358,0.14845717
ropa/trousers.jpg,0.12898873,0.10735399,0.09567538,0.10361808,0.11694983,0.2010362,0.17836064,0.18731171,0.22578521,0.2034782,0.20662826,0.18027984,0.20930752,0.1552378,0.3135056,0.14795065,0.18791805,0.14177477,0.11880348,0.14754966
colegio/calculator.jpg,0.108362675,0.1673142,0.11333326,0.14368863,0.14497724,0.22062136,0.2163236,0.21351968,0.22075586,0.1995471,0.15586974,0.15125091,0.14569622,0.17099637,0.17917527,0.3277771,0.22638461,0.21493226,0.19131735,0.2005886
colegio/school_bag.jpg,0.0923575,0.06337295,0.11025545,0.09099795,0.12563595,0.1772321,0.1854465,0.17400832,0.17654046,0.18281487,0.1713832,0.15007585,0.25133833,0.13251768,0.14761467,0.12557906,0.3377696,0.13188268,0.08642518,0.14472122
colegio/pencil.jpg,0.17993246,0.19895609,0.15841848,0.17914975,0.20278792,0.25825393,0.25829655,0.245394,0.24966528,0.24560536,0.21420892,0.21107726,0.17473093,0.2109079,0.20661686,0.19811442,0.27811208,0.34838906,0.1536348,0.29032803
colegio/clock.jpg,0.14341502,0.11352801,0.12208452,0.13200684,0.14651084,0.24348028,0.20308128,0.20676208,0.19545819,0.19466735,0.17995097,0.114415385,0.19094753,0.14360863,0.14193453,0.18910521,0.17768122,0.172202,0.35408124,0.17021915
colegio/eraser.jpg,0.13499181,0.15767857,0.11052751,0.109703586,0.14161207,0.2092699,0.23041642,0.208214,0.18994075,0.21890557,0.18399425,0.15162776,0.12540793,0.14158525,0.14250621,0.22681953,0.16365589,0.25948018,0.19118057,0.31889302
